"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
92,135,"MWI","Malawi",11,"Lilongwe",92,"TA Kalolo","",NA,"","Traditional Authority","Traditional Authority","",""
93,135,"MWI","Malawi",11,"Lilongwe",93,"TA Kalumba","",NA,"","Traditional Authority","Traditional Authority","",""
94,135,"MWI","Malawi",11,"Lilongwe",94,"TA Kalumbu","",NA,"","Traditional Authority","Traditional Authority","",""
95,135,"MWI","Malawi",11,"Lilongwe",95,"TA Khongoni","",NA,"","Traditional Authority","Traditional Authority","",""
96,135,"MWI","Malawi",11,"Lilongwe",96,"TA Malili","",NA,"","Traditional Authority","Traditional Authority","",""
97,135,"MWI","Malawi",11,"Lilongwe",97,"TA Mazengera","",NA,"","Traditional Authority","Traditional Authority","",""
98,135,"MWI","Malawi",12,"Machinga",98,"Lake Chilwa","",NA,"","Water body","Water body","",""
99,135,"MWI","Malawi",12,"Machinga",99,"Lake Chiuta","",NA,"","Water body","Water body","",""
100,135,"MWI","Malawi",12,"Machinga",100,"Liwonda National Park","",NA,"","National Park","National Park","",""
101,135,"MWI","Malawi",12,"Machinga",101,"Liwonde Town","",NA,"","Town","Town","",""
102,135,"MWI","Malawi",12,"Machinga",102,"SC Chamba","",NA,"","Sub-chief","Sub-chief","",""
103,135,"MWI","Malawi",12,"Machinga",103,"SC Chikweo","",NA,"","Sub-chief","Sub-chief","",""
104,135,"MWI","Malawi",12,"Machinga",104,"SC Chiwalo","",NA,"","Sub-chief","Sub-chief","",""
105,135,"MWI","Malawi",12,"Machinga",105,"SC Mlomba","",NA,"","Sub-chief","Sub-chief","",""
106,135,"MWI","Malawi",12,"Machinga",106,"SC Mposa","",NA,"","Sub-chief","Sub-chief","",""
107,135,"MWI","Malawi",12,"Machinga",107,"SC Ngokwe","",NA,"","Sub-chief","Sub-chief","",""
108,135,"MWI","Malawi",12,"Machinga",108,"SC Sitola","",NA,"","Sub-chief","Sub-chief","",""
109,135,"MWI","Malawi",12,"Machinga",109,"TA Kawinga","",NA,"","Traditional Authority","Traditional Authority","",""
110,135,"MWI","Malawi",12,"Machinga",110,"TA Liwonde","",NA,"","Traditional Authority","Traditional Authority","",""
111,135,"MWI","Malawi",12,"Machinga",111,"TA Nyambi","",NA,"","Traditional Authority","Traditional Authority","",""
112,135,"MWI","Malawi",13,"Mangochi",112,"Lake Malawi","",NA,"","Water body","Water body","",""
113,135,"MWI","Malawi",13,"Mangochi",113,"Lake Malombe","",NA,"","Water body","Water body","",""
114,135,"MWI","Malawi",13,"Mangochi",114,"Mangochi Town","",NA,"","Town","Town","",""
115,135,"MWI","Malawi",13,"Mangochi",115,"Monkey Bay Urban","",NA,"","Urban","Urban","",""
116,135,"MWI","Malawi",13,"Mangochi",116,"SC Chowe","",NA,"","Sub-chief","Sub-chief","",""
117,135,"MWI","Malawi",13,"Mangochi",117,"SC Mbwana Nyambi","",NA,"","Sub-chief","Sub-chief","",""
118,135,"MWI","Malawi",13,"Mangochi",118,"SC Namabvi","",NA,"","Sub-chief","Sub-chief","",""
119,135,"MWI","Malawi",13,"Mangochi",119,"TA Chimwala","",NA,"","Traditional Authority","Traditional Authority","",""
120,135,"MWI","Malawi",13,"Mangochi",120,"TA Jalasi","",NA,"","Traditional Authority","Traditional Authority","",""
121,135,"MWI","Malawi",13,"Mangochi",121,"TA Katuli","",NA,"","Traditional Authority","Traditional Authority","",""
122,135,"MWI","Malawi",13,"Mangochi",122,"TA Makanjila","",NA,"","Traditional Authority","Traditional Authority","",""
123,135,"MWI","Malawi",13,"Mangochi",123,"TA Mponda","",NA,"","Traditional Authority","Traditional Authority","",""
124,135,"MWI","Malawi",13,"Mangochi",124,"TA Nankumba","",NA,"","Traditional Authority","Traditional Authority","",""
125,135,"MWI","Malawi",14,"Mchinji",125,"Mchinji Boma","",NA,"","Boma","Headquarter","",""
126,135,"MWI","Malawi",14,"Mchinji",126,"SC Dambe","",NA,"","Sub-chief","Sub-chief","",""
127,135,"MWI","Malawi",14,"Mchinji",127,"SC Mavwere","",NA,"","Sub-chief","Sub-chief","",""
128,135,"MWI","Malawi",14,"Mchinji",128,"SC Mduwa","",NA,"","Sub-chief","Sub-chief","",""
129,135,"MWI","Malawi",14,"Mchinji",129,"TA Mkanda","",NA,"","Traditional Authority","Traditional Authority","",""
130,135,"MWI","Malawi",14,"Mchinji",130,"TA Mlonyeni","",NA,"","Traditional Authority","Traditional Authority","",""
131,135,"MWI","Malawi",14,"Mchinji",131,"TA Zulu","",NA,"","Traditional Authority","Traditional Authority","",""
132,135,"MWI","Malawi",15,"Mulanje",132,"Mulanje Boma","",NA,"","Boma","Headquarter","",""
133,135,"MWI","Malawi",15,"Mulanje",133,"Mulanje Mountain Forest Reserve","",NA,"","Reserve","Reserve","",""
134,135,"MWI","Malawi",15,"Mulanje",134,"SC Juma","",NA,"","Sub-chief","Sub-chief","",""
