cellphone,number_celphones,rcsi,logFCS,hdds,asset_index,housing_index,nutri_reten_constrained,nutri_avail_constrained,dist_km,maize_price,maize_mktthin,rice_price,rice_mktthin,tmean,floodmax,raincytot,day1rain,maxdaysnorain
1,1,0,3.3672957,4,,2.2580109,1,1,78.414612,42830,0,125833.3,0,26.36395629,790.183412,592.6324295,63,171
0.2857143,0.42857143,6.7142859,3.8952765,6.2857141,-0.39868096,1.3597713,1,1,78.414612,51000,0,90000,1,26.38320568,698.5865093,593.1959187,64,176
1,5,0,3.3141861,2,,-0.88582069,1,1,78.414612,45944.672,0,136944.33,0,26.36395629,790.183412,592.6324295,63,171
0.83333331,0.83333331,1.6666666,3.0928369,2.3333333,,1.7340366,1,1,78.414612,59066.602,0,145083.41,0,26.36395629,790.183412,592.6324295,63,171
1,1,0,4.5485997,8,-0.39868096,-0.88582069,1,1,89.737251,37581.668,0,104722.34,0,26.77876113,0,507.2755431,47,166
1,1,0,2.6390574,2,,-0.88582069,1,1,89.737251,74500.336,0,175277.67,0,27.39215566,0,631.1899536,6,165
0.625,0.875,2.875,4.205883,6.5,-0.39868101,-0.49285248,1,1,89.737251,29719.666,0,91974,0,26.60583865,0,620.6093101,21,166
0.72727275,1.8181819,3.6363637,2.665803,2.5454545,,-0.31422406,1,1,89.737251,64433.332,0,172166.67,0,27.39215566,0,631.1899536,6,165
0.54545456,0.81818181,4,4.08957,6.181818,-0.39868101,1.1147941,1,1,141.18356,29733,0,87914,0,24.54043043,0,663.2309413,21,143
0.5714286,1.1428572,4,2.7272491,2.5,,1.5843296,1,1,141.18356,57718,0,160500,0,25.57744445,0,759.3777076,5,152
1,2,0,3.3672957,2,,-0.88583499,1,1,141.18356,53100,0,101666.75,0,24.82250875,0,594.3701215,88,165
0.625,0.75,1.75,4.1020637,6.375,-0.39868101,1.8650302,1,1,63.878548,41413,0,111042,0,,,,,
0.5,0.5,9.75,2.5878277,2.25,,1.0790704,1,1,63.878548,59480.801,0,128500,0,,,,,
1,2,0,3.0910425,2,,-0.88582069,1,1,63.878548,53100,0,101666.75,0,,,,,
0,0,3.25,4.057579,5.875,-0.39868101,1.4720494,1,1,80.978134,43875,0,100000,0,24.32437109,0,868.0742319,42,144
0.42857143,0.5,2.2142856,2.3442693,2,,0.2369671,1,1,80.978134,79590,0,181250,0,24.05967183,0,801.4104009,69,161
1,3,0,2.1972246,2,,-0.88582069,1,1,80.978134,48931,0,125000,0,24.05967183,0,801.4104009,69,161
1,1.5,11.5,4.0475326,6,-0.39868104,-0.88582069,1,1,80.978134,41000,0,120000,0,24.32437109,0,868.0742319,42,144
