"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","ea_id","reside","hh_a01","FS_month","FS_year","rCSI","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","FNID"
"4346","1103011306006501",0,1,0,1,7.90000009536743,43,14.6999998092651,34.7999992370605,58.4000015258789,31.7000007629394,2148,"11311306","urban","3",2,2011,0,6,62.5,"February",0,0,0,Feb 2011,"TZ2009L174"
"4347","1103011306008401",0,1,1,0,7.90000009536743,49,15.1000003814697,35,58.2000007629395,31.6000003814697,2151,"11311306","urban","3",2,2011,0,6,68.5,"February",0,0,0,Feb 2011,"TZ2009L161"
"4348","1103011306008401",0,1,1,0,7.90000009536743,49,15.1000003814697,35,58.2000007629395,31.6000003814697,2151,"11311306","urban","3",2,2011,0,6,68.5,"February",0,0,0,Feb 2011,"TZ2009L173"
"4349","1103011306008401",0,1,1,0,7.90000009536743,49,15.1000003814697,35,58.2000007629395,31.6000003814697,2151,"11311306","urban","3",2,2011,0,6,68.5,"February",0,0,0,Feb 2011,"TZ2009L174"
"4350","1103011306008801",0,1,1,0,7.90000009536743,47,14.6000003814697,34.5999984741211,58.2999992370605,31.8999996185303,2149,"11311306","urban","3",2,2011,19,4,43,"February",0,0,0,Feb 2011,"TZ2009L161"
"4351","1103011306008801",0,1,1,0,7.90000009536743,47,14.6000003814697,34.5999984741211,58.2999992370605,31.8999996185303,2149,"11311306","urban","3",2,2011,19,4,43,"February",0,0,0,Feb 2011,"TZ2009L173"
"4352","1103011306008801",0,1,1,0,7.90000009536743,47,14.6000003814697,34.5999984741211,58.2999992370605,31.8999996185303,2149,"11311306","urban","3",2,2011,19,4,43,"February",0,0,0,Feb 2011,"TZ2009L174"
"4353","1103011306010401",0,1,1,0,7.30000019073486,60,14.8999996185303,34.4000015258789,57.5999984741211,32.2999992370605,2164,"11311306","urban","3",2,2011,0,5,64,"February",0,0,0,Feb 2011,"TZ2009L161"
"4354","1103011306010401",0,1,1,0,7.30000019073486,60,14.8999996185303,34.4000015258789,57.5999984741211,32.2999992370605,2164,"11311306","urban","3",2,2011,0,5,64,"February",0,0,0,Feb 2011,"TZ2009L173"
"4355","1103011306010401",0,1,1,0,7.30000019073486,60,14.8999996185303,34.4000015258789,57.5999984741211,32.2999992370605,2164,"11311306","urban","3",2,2011,0,5,64,"February",0,0,0,Feb 2011,"TZ2009L174"
"4356","1103011306011401",0,1,1,0,7.90000009536743,51,14.8999996185303,34.7000007629395,58.0999984741211,31.8999996185303,2157,"11311306","urban","3",2,2011,0,7,65,"February",0,0,0,Feb 2011,"TZ2009L161"
