"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID"
1073002702,1,0,1,0,0,1,1,1,1,0,1,2,3.5933,9.3059,52.859,9.3059,60,8.90717,1292,"Rural","10730027","MITYANA","BUSIMBI",7,2012,7,93,"July",0,0,1,Jul 2012,4.06858714019466,"UG2011L135"
1073002702,1,0,1,0,0,1,1,1,1,0,1,2,3.5933,9.3059,52.859,9.3059,60,8.90717,1292,"Rural","10730027","MITYANA","BUSIMBI",7,2012,7,93,"July",0,0,1,Jul 2012,4.06858714019466,"UG2011L138"
1081000201,1,0,1,0,0,0,0,0,0,0,1,1,1.232,1.0856,40.6244,21.1916,60,7.133004,1205,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",12,2011,5,49,"December",0,0,1,Dec 2011,1.95204410575873,"UG2011L133"
1081000201,1,0,1,0,0,0,0,0,0,0,1,1,1.232,1.0856,40.6244,21.1916,60,7.133004,1205,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",12,2011,5,49,"December",0,0,1,Dec 2011,1.95204410575873,"UG2011L137"
1081000202,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1.2298,1.2245,40.3556,20.9294,57,7.133004,1194,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",7,2012,4,49,"July",0,0,1,Jul 2012,-0.738803661673084,"UG2011L133"
1081000202,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1.2298,1.2245,40.3556,20.9294,57,7.133004,1194,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",7,2012,4,49,"July",0,0,1,Jul 2012,-0.738803661673084,"UG2011L137"
108100020203,1,0,0,0,1,0,0,0,0,0,1,2,0.9453,8.0237,8.0237,8.0237,49,5.52084,1156,"Urban","10810002","KAMPALA","NAKAWA",7,2012,7,60.5,"July",0,1,0,Jul 2012,1.64586927946008,"UG2011L133"
108100020203,1,0,0,0,1,0,0,0,0,0,1,2,0.9453,8.0237,8.0237,8.0237,49,5.52084,1156,"Urban","10810002","KAMPALA","NAKAWA",7,2012,7,60.5,"July",0,1,0,Jul 2012,1.64586927946008,"UG2011L137"
1081000203,1,0,1,0,0,1,1,1,0,0,1,3,1.1992,1.1855,40.3766,20.9472,57,7.133004,1194,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",7,2012,7,66,"July",0,0,1,Jul 2012,3.46811570892324,"UG2011L133"
1081000203,1,0,1,0,0,1,1,1,0,0,1,3,1.1992,1.1855,40.3766,20.9472,57,7.133004,1194,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",7,2012,7,66,"July",0,0,1,Jul 2012,3.46811570892324,"UG2011L137"
1081000206,0,1,1,0,0,0,0,0,0,0,0,0,1.1274,0.8952,40.7992,21.3504,51,7.133004,1198,"Urban","10810002","BUIKWE","LUGAZI TOWN COUNCIL",7,2012,5,40.5,"July",0,0,1,Jul 2012,-0.738803661673084,"UG2011L133"
