"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","clust_logFCS","clust_RCSI","clust_HDDS","ipc_lag1","ipc_lag12"
"99",1048.9075,39,20,0,1.4375,3.476614,0.40000001,0.8125,4.25,40.875,1.125,0.42313749,0.65499997,15.391429,0.48750001,1,1300,4.1256561,2.1875,6.375,1,NA
"100",1068.3186,39,37,0,0.375,3.4011974,0.80000001,0.125,4.625,37.375,1.1875,-0.20254874,7.2999997,10.783999,0.48750001,1,1017.7333,3.8348374,2,4.875,1,NA
"101",1197.3097,38,23,0,0.6875,3.3963459,0.51249999,0.25,4.625,40.9375,1.125,0.17286395,0.2225,4.859375,0.45000002,0,491.4375,3.9546492,2.75,5.875,1,NA
"102",1217.9518,41,20,0,0.5,3.7013021,0.40000001,0,4.625,41.1875,1.1875,0.17286226,0.528,10.142667,0,0.125,1107.2,3.8015575,2.375,5.375,1,NA
"103",1145.1708,42,20,10.766533,1.25,3.4705679,0.60000002,0.25,5.1875,41.625,1.25,0.42313865,14.569375,14.849375,0.60000002,0,510.6875,4.0848298,1.25,6.0625,1,NA
"104",1061.5717,43,30,0,0,3.2468801,0.40000001,0.0625,4.125,47.4375,1.375,-0.20254904,20.61125,8.7706251,0.48750001,1,1219.5625,3.7162127,0.5625,5.5,1,NA
"105",1139.7915,43,19,0,1.5625,3.4232092,0.92500001,0.8125,5.5,44.125,1.3125,0.29800087,17.273125,0.58249998,0.52500004,0.125,1209.4375,4.0767078,1.625,5.875,1,NA
"106",980.48828,42,20,0,0.3125,3.4685445,0.40000001,0.1875,4.625,50.125,1.1875,-0.70309836,0.68312502,9.8487501,0,0,1230.3125,3.5852256,5,4.75,1,NA
"107",1361.455,41,20,0,0.5,3.1463051,0.60000002,0.3125,5.8125,48.375,1.25,0.17286311,9.7849998,8.2087498,0.60000002,1,1122.6875,3.7627351,2.25,5.3125,1,NA
"108",1250.5116,41,20,0,0.375,3.4270091,0.8125,0.375,5.5625,52.1875,1.3125,-0.20254932,2.0425,6.339375,0.52500004,1,1126.375,3.701839,4.25,4.5,1,NA
"109",1261.5079,38,20,0,0.25,3.0910425,0.80000001,0.125,5.9375,45.375,1.3125,0.17286366,15.364375,7.5906248,0,1,1114.5,3.5386479,6.375,4.4375,1,NA
"110",1075.4189,43,30,0,0.3125,3.2468801,0.40000001,0.25,4.3125,40.0625,1.375,0.17286368,23.929375,10.665,0,0,1297.375,3.788347,0.9375,5.625,1,NA
"111",1062.4454,42,20,0,0.375,3.2895207,0.40000001,0.375,4.3125,43.6875,1.25,0.047725055,19.340626,7.350625,0.60000002,0,1251.9375,3.7062473,4.5625,5,1,NA
"112",1113.4249,43,30,0,0.4375,3.313262,0.57499999,0.25,4.5625,42.375,1.25,-0.20254989,2.526,3.6573334,0.60000002,1,1104.5333,3.5213099,5,4.625,1,NA
"113",1043.4067,43,30,0,0.1875,3.3467412,0.40000001,0.1875,4.625,53.5,1.4375,-0.45282313,6.8074999,7.3937502,0,1,1005.125,3.5698223,2.875,4.5,1,NA
"114",986.91187,43,19,0,0,3.537184,0.80000001,0,4.875,47.4375,1.1875,-0.32768622,10.816,16.629333,0.33750001,1,797.93335,3.6737037,2.0625,4.5625,1,NA
"115",934.09863,61,29,0,0.25,3.3822579,0.77499998,0.125,5.5625,44.4375,1.125,-0.077410705,25.670626,14.51125,0.1875,0,555.6875,3.62292,0.3125,4.5,1,NA
"116",813.32648,44,19,0,0.0625,3.347445,0.80000001,0.3125,5.1875,45.25,1.3125,-0.077410996,32.0975,4.9187498,0.60000002,0,647.125,3.616626,2.875,4.1875,1,NA
"117",818.92175,43,19,0,0.4375,3.2665224,0.80000001,0.25,4.25,38.5625,1.25,0.42313778,11.03,8.546875,0.41250002,0,685.625,3.9699903,4.6875,6.125,1,NA
"118",769.93604,61,19,0,0.4375,3.2583649,0.76875001,0.0625,5.5,37.6875,1.1875,0.42313918,21.596251,6.9793749,0.60000002,0,662,3.8303213,2.9375,5.3125,1,NA
"119",828.23669,44,13,0,0.375,3.6888795,0.80000001,0.4375,4.25,43.0625,1.375,-0.20254676,17.985001,5.1875,0,0,785.1875,3.7882185,6.1875,5.5,1,NA
"120",867.7525,44,30,0,0.3125,3.4127965,0.40000001,0.375,3.1875,48.6875,1.375,-0.077411838,3.4613333,7.46,0.60000002,0,807.53333,3.7973876,0.125,5.5625,1,NA
"121",876.7644,43,13,0,0.5,3.4142356,0.55312502,0.0625,5.375,43.625,1.3125,0.42313775,4.4060001,4.2259998,0.60000002,0,687.86664,3.8179433,0,5.125,1,NA
"122",779.16638,52,14,0,0.625,3.4127965,0.40000001,0.125,3.75,46.125,1.0625,-0.32768565,9.5178566,7.8850002,0.48750001,0,653.78571,3.8651857,0.9375,5.375,1,NA
"123",1125.9943,43,23,0,0.125,3.6109178,0.40000001,0.3125,3.6875,44.8125,1.3125,0.29800087,8.899375,6.4093752,0.60000002,1,871.3125,3.8863692,7.8125,5.375,1,NA
