"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","lat_modified","lon_modified","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","terrain_rough","nutri_avail","nutri_rentention","region","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","survey_round","HDDS","FCS","country","Month"
"62","1021001306",1,0,1,0,0,0,1,0,0,0,1,3,0.30322111,32.619747,3.157,3.2731,3.2731,3.2731,4,7.659469,1171,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",11,2011,"Uganda NPS 2011/2012",4,45.5,"Uganda","November"
"63","1021001308",1,0,1,0,0,1,1,0,1,0,1,2,0.30322111,32.619747,3.0756,3.4003,3.4003,3.4003,6,7.659469,1183,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",11,2011,"Uganda NPS 2011/2012",6,71.5,"Uganda","November"
"64","1021001309",0,1,1,0,0,1,0,0,0,0,0,0,0.30322111,32.619747,3.0731,3.3451,3.3451,3.3451,6,7.659469,1177,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",6,2012,"Uganda NPS 2011/2012",4,39,"Uganda","June"
"65","1021001402",1,0,1,0,0,1,1,0,0,0,1,2,0.28581339,32.578739,1.2244,3.2246,3.2246,3.2246,4,5.713431,1169,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",12,2011,"Uganda NPS 2011/2012",5,29.5,"Uganda","December"
"66","102100140202",1,0,1,0,0,0,1,0,1,0,1,2,0.28581339,32.578739,2.6429,4.4932,4.4932,4.4932,43,6.379084,1176,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",7,2012,"Uganda NPS 2011/2012",7,64,"Uganda","July"
"67","102100140204",1,0,1,0,0,1,1,0,0,0,1,3,0.39059284,32.521591,0.0675,0.5315,8.194,5.5311,31,6.887457,1195,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"WAKISO","NANSANA TOWN COUNCIL",7,2012,"Uganda NPS 2011/2012",7,62,"Uganda","July"
"68","1021001403",1,0,1,0,0,1,1,0,0,0,1,2,0.28581339,32.578739,1.3422,3.4121,3.4121,3.4121,18,5.713431,1177,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",12,2011,"Uganda NPS 2011/2012",6,69,"Uganda","December"
"69","1021001405",1,0,1,0,0,1,1,0,0,0,1,3,0.28581339,32.578739,1.1897,3.2302,3.2302,3.2302,4,5.713431,1174,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",7,2012,"Uganda NPS 2011/2012",5,48,"Uganda","July"
"70","1021001406",1,0,1,0,0,1,1,0,0,0,1,4,0.28581339,32.578739,1.2125,3.1462,3.1462,3.1462,4,5.713431,1169,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",7,2012,"Uganda NPS 2011/2012",5,42.5,"Uganda","July"
"71","1021001407",1,0,1,0,0,1,1,0,0,0,1,2,0.23138611,32.590992,4.5625,10.1291,10.1291,22.6394,94,9.540836,1193,"Mid-altitude Plateaus","Water","Water","Central","Urban",10210014,"WAKISO","MAKINDYE",7,2012,"Uganda NPS 2011/2012",7,71,"Uganda","July"
"72","1021001408",1,0,1,0,0,0,0,0,0,0,1,2,0.28581339,32.578739,1.2678,3.1685,3.1685,3.1685,4,5.713431,1164,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210014,"KAMPALA","MAKINDYE DIVISION",7,2012,"Uganda NPS 2011/2012",5,40,"Uganda","July"
"73","1021001501",0,1,1,0,0,0,0,0,0,0,1,3,0.30165493,32.600548,3.0451,3.6844,3.6844,3.6844,8,7.361089,1205,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210015,"KAMPALA","MAKINDYE DIVISION",1,2012,"Uganda NPS 2011/2012",7,32.5,"Uganda","January"
"74","1021001504",1,0,0,0,1,1,1,0,0,0,1,3,0.30165493,32.600548,3.1956,3.8253,3.8253,3.8253,8,7.361089,1207,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210015,"KAMPALA","MAKINDYE DIVISION",2,2012,"Uganda NPS 2011/2012",7,68,"Uganda","February"
"75","102100150406",1,0,1,0,0,1,1,0,0,0,1,3,0.32639074,32.555145,0.504,3.9294,3.9294,3.9294,7,9.135909,1217,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210015,"WAKISO","NSANGI(MUKONO)",9,2012,"Uganda NPS 2011/2012",7,66,"Uganda","September"
"76","1021001505",1,0,1,0,0,1,1,0,0,0,1,5,0.30165493,32.600548,3.0778,3.7313,3.7313,3.7313,8,7.361089,1205,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210015,"KAMPALA","MAKINDYE DIVISION",1,2012,"Uganda NPS 2011/2012",7,54,"Uganda","January"
"77","1021001507",1,0,1,0,0,1,1,0,0,0,1,3,0.30165493,32.600548,3.037,3.6684,3.6684,3.6684,8,7.361089,1205,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210015,"KAMPALA","MAKINDYE DIVISION",7,2012,"Uganda NPS 2011/2012",5,53,"Uganda","July"
