case_id,cellphone,number_celphones,slope,ag_percent,elevation,terrain_rough,ea_id,lat_modified,lon_modified,reside,region,hh_a01,ward,FS_month,FS_year,survey_round,rCSI,HDDS,FCS,country,asset_index,distance_index,housing_index,nutri_reten_constrained,nutri_avail_constrained
0105029002069001,0,0,1.5,0,980,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,4,411,12,2010,Tanzania NPS 2010/2011,0,6,70,Tanzania,-.39868104,-.60113394,-.88582069,1,1
0105029002069101,0,0,1.5,0,980,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,4,411,12,2010,Tanzania NPS 2010/2011,0,7,53,Tanzania,-.39868096,-.60113394,2.2580109,1,1
0105029002123801,0,0,4.099999904632568,2,1026,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,5,291,12,2010,Tanzania NPS 2010/2011,0,5,51.5,Tanzania,-.39868096,-.7268582,2.2580109,1,1
0201010001014801,0,0,4.099999904632568,0,1038,Mid-altitude plateaus,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,4,2011,Tanzania NPS 2010/2011,13,6,65.5,Tanzania,-.39868096,.40467009,2.2580109,1,1
0201010001026301,0,0,2.700000047683716,12,1053,High-altitude plains,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,14,2,21,Tanzania,-.39868096,.21825239,2.2580109,1,1
0201010001029701,0,0,6.400000095367432,8,1109,Mid-altitude plateaus,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,24,5,67.5,Tanzania,-.39868096,.28761792,2.2580109,1,1
0201010001033601,1,2,6.099999904632568,8,1079,Mid altitude mountains,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,10,5,41,Tanzania,-.39868096,.040505569,2.2580109,1,1
0201010001051101,0,0,3.799999952316284,25,1033,Mid-altitude plateaus,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,4,2011,Tanzania NPS 2010/2011,23,6,32.5,Tanzania,-.39868096,.088194199,2.2580109,1,1
0201010001055801,0,0,4.199999809265137,24,1045,High-altitude plains,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,8,6,67.5,Tanzania,-.39868104,.14021763,2.2580109,1,1
0201010001065601,1,1,3.799999952316284,26,1036,Mid-altitude plateaus,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,0,8,101,Tanzania,-.39868104,.088194147,-.88583499,1,1
0201010001078501,1,2,4.199999809265137,31,1044,Mid-altitude plateaus,2110001,-3.204380035400391,35.92819976806641,rural,2,1,101,2,2011,Tanzania NPS 2010/2011,0,8,91.5,Tanzania,-.39868104,.13588251,-.88582468,1,1
0201011001004801,1,3,2.299999952316284,18,889,High-altitude plains,2111001,-2.996390104293823,36.01396179199219,rural,2,1,111,4,2011,Tanzania NPS 2010/2011,0,6,98.5,Tanzania,-.39868119,1.1373371,-.88582069,1,1
0201011001020601,1,1,1.899999976158142,0,873,High-altitude plains,2111001,-2.996390104293823,36.01396179199219,rural,2,1,111,4,2011,Tanzania NPS 2010/2011,2,7,97.5,Tanzania,-.39868096,1.2153723,2.2580109,1,1
