year,month,market,maize_price,missing
2008,7,NGABU,51.47,0
2008,7,NKHAMENYA,44.0,0
2008,7,NKHATABAY,52.278,0
2008,7,NKHOMA,49.0,0
2008,7,NKHOTAKOTA,61.134,0
2008,7,NSANJE,49.745999999999995,0
2008,7,NSUNDWE,49.0,0
2008,7,NTAJA,44.25,0
2008,7,NTCHEU,55.678,0
2008,7,NTCHISI,59.636,0
2008,7,NTHALIRE,25.61,0
2008,7,NTONDA,42.0,0
2008,7,PHALOMBE,50.658,0
2008,7,RUMPHI,50.038,0
2008,7,SALIMA,49.0,1
2008,7,SANTHE,50.4,0
2008,7,SHARPEVALEY,55.678,1
2008,7,THETE,46.0,0
2008,7,THONDWE,54.0,0
2008,7,TSANGANO,50.86,0
2008,7,ZOMBA,41.6,0
2008,8,BALAKA,47.8925,0
2008,8,BANGULA,64.19666666666667,0
2008,8,BEMBEKE,56.61,0
2008,8,BOWE,48.5,0
2008,8,BVUMBWE,65.0,0
2008,8,CHAMAMA,62.0,1
2008,8,CHATOLOMA,50.0,0
2008,8,CHIKWAWA,57.473333333333336,0
2008,8,CHILINGA,62.0,1
2008,8,CHILUMBA,47.105000000000004,0
2008,8,CHIMBIYA,52.5,0
2008,8,CHINTHECHE,55.400000000000006,0
2008,8,CHIRADZULU,52.082499999999996,0
2008,8,CHITIPA,43.230000000000004,0
2008,8,DOWA,55.0,0
2008,8,DWANGWA,63.18,0
2008,8,EMBANGWENI,45.0,1
2008,8,HEWE,47.435,0
2008,8,JALI,52.065,0
2008,8,JENDA,45.0,0
2008,8,KARONGA,55.3525,0
2008,8,KASIYA,59.35,0
2008,8,KASUNGU,52.050000000000004,0
2008,8,LILONGWE,58.666666666666664,0
2008,8,LIMBE,65.42,0
2008,8,LIWONDE,63.333333333333336,0
2008,8,LIZULU,54.86,0
2008,8,LUCHENZA,57.5,0
2008,8,LUNZU,66.3525,0
2008,8,MADISI,65.0,0
2008,8,MALOMO,52.5,0
2008,8,MANGOCHI,51.835,0
2008,8,MAYAKA,52.082499999999996,1
2008,8,MCHINJI,59.74,0
2008,8,MIGOWI,62.0,1
2008,8,MISUKU,28.0175,0
2008,8,MITUNDU,61.415,0
2008,8,MKANDA,49.0,0
2008,8,MONKEY BAY,60.445,0
2008,8,MPAMBA,63.583333333333336,0
2008,8,MPONELA,52.76,0
2008,8,MTAKATAKA,59.333333333333336,0
2008,8,MULOZA,62.0,0
2008,8,MWANSAMBO,50.0,0
2008,8,MWANZA,56.25,0
2008,8,MZIMBA,45.0,1
2008,8,MZUZU,60.75,0
2008,8,NAMBUMA,51.55666666666667,0
2008,8,NAMWERA,59.5,0
2008,8,NANJIRI,61.78999999999999,0
2008,8,NCHALO,63.68,0
2008,8,NENO,62.0,1
2008,8,NGABU,57.5,0
2008,8,NKHAMENYA,46.666666666666664,0
2008,8,NKHATABAY,54.00750000000001,0
2008,8,NKHOMA,50.375,0
2008,8,NKHOTAKOTA,66.685,0
2008,8,NSANJE,61.474999999999994,0
2008,8,NSUNDWE,53.333333333333336,0
2008,8,NTAJA,49.0,0
2008,8,NTCHEU,56.2575,0
2008,8,NTCHISI,56.83,0
2008,8,NTHALIRE,47.25333333333333,0
2008,8,NTONDA,56.042500000000004,0
2008,8,PHALOMBE,64.83500000000001,0
2008,8,RUMPHI,62.9,0
2008,8,SALIMA,74.22,0
2008,8,SANTHE,48.75,0
2008,8,SHARPEVALEY,56.2575,1
2008,8,THETE,44.0,0
2008,8,THONDWE,57.0,0
2008,8,TSANGANO,58.04999999999999,0
2008,8,ZOMBA,41.75,0
2008,9,BALAKA,51.702,0
2008,9,BANGULA,61.246,0
2008,9,BEMBEKE,45.0,0
2008,9,BOWE,51.2,0
2008,9,BVUMBWE,62.0,0
2008,9,CHAMAMA,57.75,1
2008,9,CHATOLOMA,45.39,0
2008,9,CHIKWAWA,62.2,0
2008,9,CHILINGA,57.75,1
2008,9,CHILUMBA,50.2675,0
2008,9,CHIMBIYA,41.4,0
2008,9,CHINTHECHE,56.403999999999996,0
2008,9,CHIRADZULU,53.11,0
2008,9,CHITIPA,48.582499999999996,0
2008,9,DOWA,65.0,0
2008,9,DWANGWA,65.362,0
2008,9,EMBANGWENI,49.0,1
2008,9,HEWE,48.78,0
2008,9,JALI,57.252500000000005,0
2008,9,JENDA,49.0,1
2008,9,KARONGA,60.120000000000005,0
2008,9,KASIYA,43.0,0
2008,9,KASUNGU,52.55,0
2008,9,LILONGWE,56.0,0
2008,9,LIMBE,49.952000000000005,0
2008,9,LIWONDE,57.5375,0
2008,9,LIZULU,54.093999999999994,0
2008,9,LUCHENZA,60.0,0
2008,9,LUNZU,57.696000000000005,0
2008,9,MADISI,40.0,0
2008,9,MALOMO,51.25,0
2008,9,MANGOCHI,54.422000000000004,0
2008,9,MAYAKA,53.11,1
2008,9,MCHINJI,55.146,0
2008,9,MIGOWI,57.75,1
2008,9,MISUKU,33.8225,0
2008,9,MITUNDU,46.25,0
2008,9,MKANDA,40.03333333333333,0
2008,9,MONKEY BAY,56.788,0
2008,9,MPAMBA,61.364,0
2008,9,MPONELA,54.0,0
2008,9,MTAKATAKA,64.0,0
2008,9,MULOZA,57.75,0
2008,9,MWANSAMBO,49.375,0
2008,9,MWANZA,49.2,0
2008,9,MZIMBA,49.0,0
2008,9,MZUZU,57.8,0
2008,9,NAMBUMA,52.93,0
2008,9,NAMWERA,48.552499999999995,0
2008,9,NANJIRI,55.89399999999999,0
2008,9,NCHALO,70.0,0
2008,9,NENO,57.75,1
2008,9,NGABU,60.032,0
2008,9,NKHAMENYA,45.0,0
2008,9,NKHATABAY,54.959999999999994,0
2008,9,NKHOMA,48.733999999999995,0
2008,9,NKHOTAKOTA,63.06200000000001,0
2008,9,NSANJE,52.251999999999995,0
2008,9,NSUNDWE,52.5,0
2008,9,NTAJA,51.75,0
2008,9,NTCHEU,53.718,0
2008,9,NTCHISI,61.315999999999995,0
2008,9,NTHALIRE,46.0525,0
2008,9,NTONDA,46.63199999999999,0
2008,9,PHALOMBE,56.356666666666676,0
2008,9,RUMPHI,63.508,0
2008,9,SALIMA,58.279999999999994,0
2008,9,SANTHE,45.8,0
