"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0119-002",45,6,22,-15.841992,35.069496,1,1,11,0,0,0,0,0,42,0,1,0,1,7,1,1,-0.937514550464697
"0120-001",40,4,6,-9.84483,33.8737,1,6,13,49,0,0,0,0,34,0,0,1,0,0,0,0,-0.0541713049401865
"0121-001",40,5,3,-10.1988,33.6635,13,1,38,28,0,0,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0122-001",54,8,0,-10.449073,34.212309,0,5,63,66,0,1,0,0,41,0,1,0,1,1,1,1,-0.0541713049401865
"0123-001",51.5,8,0,-10.1988,33.6635,12,3,40,26,0,0,0,0,39,0,0,1,0,0,0,0,-0.0541713049401865
"0124-001",39.5,7,24,-9.84483,33.8737,0,5,13,51,0,0,0,0,88,1,0,1,0,0,0,0,-0.937514550464697
"0125-001",50,6,5,-10.1988,33.6635,11,3,40,20,0,0,0,0,31,0,0,1,0,0,0,0,-0.345495163361213
"0126-001",35,6,0,-9.84483,33.8737,1,5,13,49,0,0,0,0,31,0,0,1,0,0,0,0,-0.64619069204367
"0127-001",35,7,12,-10.1988,33.6635,11,3,41,24,0,0,0,0,63,0,0,1,0,0,0,0,-0.937514550464697
"0128-001",68,8,0,-9.84483,33.8737,1,6,13,47,0,0,0,0,50,0,0,1,0,0,1,1,-0.0541713049401865
"0128-003",71.5,8,0,-9.84483,33.8737,1,5,13,51,0,0,0,0,26,0,1,1,1,1,0,0,-0.64619069204367
"0128-004",69.5,8,0,-9.940209,33.920756,0,1,3,43,0,0,0,0,20,0,1,1,1,1,0,0,-0.937514550464697
"0129-001",52,7,1,-9.61827,33.800714,0,17,41,48,0,0,0,0,75,0,0,0,0,0,1,1,-0.0541713049401865
"0129-002",25.5,5,13,-9.68146,33.8498,3,8,32,50,0,0,0,0,63,1,0,0,0,0,1,1,-0.937514550464697
"0130-001",38.5,5,0,-9.87305,33.6206,2,25,35,31,0,0,0,0,53,1,0,0,0,0,1,1,-0.937514550464697
"0131-001",25,4,0,-9.68146,33.8498,3,10,34,42,0,0,0,0,44,0,0,1,0,0,0,0,-0.64619069204367
"0132-001",39,4,2,-9.87305,33.6206,4,23,34,12,0,0,0,0,90,1,0,1,0,0,0,0,-0.937514550464697
"0133-002",32,6,0,-9.68146,33.8498,0,8,32,35,0,1,0,0,32,0,1,1,1,2,1,1,-0.0541713049401865
"0134-001",29,6,9,-9.891859,33.854987,5,7,15,60,0,0,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0135-001",30.5,6,0,-9.68146,33.8498,3,9,33,25,0,0,0,0,35,0,0,1,0,0,0,0,-0.345495163361213
"0136-001",23,5,0,-9.87305,33.6206,3,24,34,10,0,0,0,0,32,0,0,1,0,0,0,0,-0.937514550464697
"0137-001",41,4,0,-9.68146,33.8498,3,9,32,50,0,0,0,0,64,0,0,0,0,0,1,1,-0.345495163361213
"0138-001",29,6,10,-9.87305,33.6206,3,24,33,6,0,0,0,0,53,1,0,1,0,0,0,0,-0.64619069204367
"0139-001",41.5,8,0,-9.68146,33.8498,3,9,33,25,0,0,0,0,30,0,1,0,1,1,1,1,-0.0541713049401865
"0140-001",40.5,7,7,-9.87305,33.6206,5,22,34,2,0,0,0,0,26,0,0,1,0,0,0,0,-0.937514550464697
"0141-001",68,7,0,-9.944616,33.909064,1,1,2,60,0,0,0,0,28,0,0,0,0,0,1,1,-0.345495163361213
"0141-002",34,6,2,-9.68146,33.8498,3,8,32,50,0,0,0,0,22,1,0,1,0,0,0,0,-0.937514550464697
"0142-001",50,7,10,-9.87305,33.6206,3,24,34,10,0,0,0,0,64,0,0,1,0,0,0,0,-0.937514550464697
"0142-003",30.5,5,0,-9.87305,33.6206,3,24,34,10,0,0,0,0,28,0,1,1,1,1,0,0,-0.937514550464697
"0143-002",32,5,20,-9.68146,33.8498,3,10,34,42,0,0,0,0,18,0,0,1,0,0,0,0,-0.937514550464697
"0144-001",57,5,0,-9.87305,33.6206,3,24,36,10,0,0,0,0,41,0,0,1,0,0,0,0,-0.0541713049401865
"0145-001",35.5,6,0,-9.68146,33.8498,3,10,34,36,0,0,0,0,56,0,1,1,1,1,1,1,1.45980992431051
"0146-001",34,4,0,-9.87305,33.6206,5,23,35,6,0,0,0,0,65,0,0,1,0,0,0,0,-0.345495163361213
"0146-003",45,7,0,-9.706174,33.345283,0,0,69,49,0,1,0,0,23,0,0,1,0,0,1,1,-0.345495163361213
"0147-001",70,7,0,-9.68146,33.8498,4,9,33,40,0,0,0,0,65,1,0,1,1,1,0,0,-0.64619069204367
"0148-001",58,5,0,-9.87305,33.6206,4,23,34,12,0,0,0,0,43,0,0,1,0,0,1,1,-0.0541713049401865
"0149-001",37.5,5,27,-9.68146,33.8498,3,9,33,33,0,0,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0150-001",85,8,0,-9.929575,33.92164,0,1,2,43,0,0,0,0,34,0,0,0,1,1,1,1,3.58046728458813
"0152-001",44.5,7,0,-9.87305,33.6206,2,24,36,24,0,0,0,0,49,0,1,1,0,0,0,0,-0.0541713049401865
"0153-001",89,8,0,-9.68146,33.8498,3,9,33,33,0,0,0,0,40,0,1,1,0,0,0,0,-0.0541713049401865
"0154-001",65.5,7,0,-9.87305,33.6206,1,25,36,33,0,0,0,0,46,0,1,0,1,1,1,1,1.16848606588948
"0155-001",68,6,0,-9.68146,33.8498,3,9,33,32,0,0,0,0,33,0,0,1,1,1,1,1,-0.345495163361213
"0156-001",28,5,0,-9.87305,33.6206,2,25,35,26,0,0,0,0,74,1,0,1,0,0,0,0,-0.937514550464697
"0157-001",23.5,4,28,-9.68146,33.8498,3,8,32,45,0,0,0,0,77,0,1,1,0,0,0,0,-0.937514550464697
"0158-001",66,7,0,-9.87305,33.6206,22,25,26,0,0,1,0,0,32,0,1,0,1,2,1,1,-0.0541713049401865
"0159-001",53,8,0,-9.68146,33.8498,3,9,33,33,0,0,0,0,32,0,0,1,0,0,0,0,-0.64619069204367
"0160-001",38,6,0,-9.87305,33.6206,2,25,34,14,0,0,0,0,28,1,0,1,0,0,0,0,-0.937514550464697
"0161-001",51,8,0,-10.4163,34.2318,0,5,60,54,0,1,0,0,35,0,1,0,1,2,1,1,-0.0541713049401865
"0161-006",48,7,0,-10.358864,34.188385,0,7,52,51,0,1,0,0,19,0,1,1,0,0,1,1,-0.0541713049401865
"0162-001",57.5,8,0,-10.0405,33.9087,0,10,9,57,1,0,1,0,55,1,0,1,1,1,0,0,-0.937514550464697
"0163-001",72,7,0,-10.4163,34.2318,2,4,61,73,0,1,0,0,55,0,1,0,1,1,1,1,-0.937514550464697
"0164-001",44.5,6,7,-10.0405,33.9087,1,9,8,60,1,0,1,0,57,0,0,1,0,0,0,0,-0.0541713049401865
"0165-001",34,6,4,-10.4163,34.2318,0,5,61,60,0,1,0,0,28,0,1,1,1,1,1,1,-0.345495163361213
"0166-001",58.5,8,0,-10.0405,33.9087,1,10,8,60,1,0,1,0,50,0,0,1,1,1,1,1,-0.937514550464697
"0167-001",49,8,0,-10.4163,34.2318,2,3,62,71,0,1,0,0,88,1,0,0,1,2,1,1,1.16848606588948
"0168-001",46,7,4,-10.0405,33.9087,1,11,9,60,1,0,1,0,69,1,1,1,0,0,0,0,-0.937514550464697
"0168-002",60,8,0,-10.0405,33.9087,0,12,10,60,1,0,1,0,59,0,0,1,1,1,1,1,2.66585762305725
"0168-006",50.5,7,2,-10.0405,33.9087,0,12,10,60,1,0,1,0,21,0,1,1,0,0,0,0,-0.0541713049401865
"0169-001",40,7,0,-10.4163,34.2318,2,4,61,73,0,1,0,0,54,1,1,0,1,2,1,1,-0.937514550464697
"0170-001",73.5,7,9,-10.0405,33.9087,1,11,9,60,1,0,1,0,34,0,1,1,1,1,1,1,-0.64619069204367
"0171-001",72,7,0,-10.4163,34.2318,1,4,62,69,0,1,0,0,74,1,0,0,1,1,1,1,3.2891434261671
"0171-003",56,8,0,-11.01108,33.853183,1,1,54,41,0,0,0,0,53,1,1,0,1,3,1,1,-0.345495163361213
"0172-001",53.5,7,0,-10.0405,33.9087,1,9,8,60,1,0,1,0,81,0,0,1,0,0,0,0,-0.937514550464697
"0173-001",60,7,0,-11.910786,33.593205,1,1,0,49,0,0,0,0,26,0,1,0,1,4,1,1,3.2891434261671
"0174-002",39.5,6,0,-10.0405,33.9087,0,11,9,60,1,0,1,0,78,1,0,0,0,0,1,1,-0.937514550464697
"0176-001",66.5,7,4,-10.0405,33.9087,1,13,11,60,1,0,1,0,54,0,0,1,1,1,0,0,-0.64619069204367
"0177-001",53,6,0,-10.4163,34.2318,2,3,62,71,0,1,0,0,47,0,0,1,1,1,1,1,-0.345495163361213
"0177-007",83,8,0,-14.677371,34.525871,1,9,41,20,0,1,0,0,26,0,1,0,1,1,1,1,-0.345495163361213
"0178-001",57,7,0,-10.0405,33.9087,1,10,8,60,1,0,1,0,67,1,0,1,0,0,0,0,-0.937514550464697
