"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","hh_a02","FS_month","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_bean_price","lhz_maize_price","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020017",2011,0.6,0.2,1,0,0,0.777777777777778,0.444444444444444,0.111111111111111,0,0,0.888888888888889,1.88888888888889,5.0407,8.16128888888889,8.16128888888889,8.16128888888889,51.6666666666667,7.61333333333333,1175.77777777778,NA,4.88888888888889,5.88888888888889,53.4444444444444,NA,0,1,0,Apr 2011,1.62150466410144,0,2011-04-29,1543.2,773.6,720.222222222222,0.444444444444444,0.444444444444444,0,1780.6514271946,873.048419674055,773.990403186712,0.450094425867858,0.444444444444444,0,NA,1874.35529805979,3,48,3,488,23.8815233824683,1740.35664255716,35,0,0
"1020018",2010,0.5,0.25,0,1,0,1,0.5,0,0,0.5,1,2.25,2.67,3.585,3.585,3.585,16.5,7.12866975,1183.25,NA,2,6.5,75.5,NA,0,1,0,Feb 2010,1.40382189468655,0,2010-02-01,NA,NA,663,1,1,0,NA,NA,965.366114122156,1,1,0,NA,478.82985639069,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020018",2011,0.5,0.25,0.75,0,0.25,0.75,0.75,0,0.25,0.5,1,1.75,2.54775,3.580075,3.580075,3.580075,18.5,7.325,1173.5,NA,4,6.75,77.5,NA,0,1,0,Apr 2011,2.98867892668673,0,2011-04-01,1600,800,750,0,0,0,1817.05737338295,841.147366248715,1033.96660603188,0.0205466463526634,0,0,NA,1872.18056080072,3,46,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020019",2009,1,0,0,1,0,0.333333333333333,0.666666666666667,0,0,0,0.666666666666667,0.666666666666667,4.17,5.40333333333333,5.40333333333333,5.40333333333333,28.6666666666667,7.22849633333333,1167.66666666667,NA,9,4.33333333333333,41,NA,0,1,0,Sep 2009,1.2243191325915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.136374700027,5,15,4.5,123,23.4842437419031,450.242906809765,14,0,0
"1020019",2010,1,0,0,NA,0,1,1,0,0,0,1,3,4.22,5.43,5.43,5.43,32,6.098743,1176,NA,4,5,45,NA,0,1,0,Apr 2010,2.79517659792678,0,2010-04-01,NA,NA,700,1,1,0,NA,NA,951.373318076414,1,1,0,NA,502.409361013016,3,6,3,123,24.4207064629403,416.357539152678,5.5,0,0
"1020019",2011,1,0,0.714285714285714,0,0.285714285714286,0.714285714285714,1,0.142857142857143,0,0,0.857142857142857,1.71428571428571,2.11571428571429,5.71381428571429,8.39772857142857,7.9826,31.8571428571429,7.52142857142857,1173.57142857143,NA,5.57142857142857,6,58.3571428571429,NA,0,0.571428571428571,0.428571428571429,May 2011,3.15383947810445,0,2011-05-18,2464.28571428571,1100,1014.28571428571,0,0,0,2316.51978622351,1051.22465184345,1113.4117277788,0.0359505084300937,0.0224695678448138,0.00320993826354483,NA,1934.96043903593,3,34,3,488,22.9124040767525,1690.80902028259,27.5,0,0
"1020020",2009,1,0,0,1,0,0.4,0.6,0,0.2,0,1,3,2.388,3.548,3.548,3.548,2,6.8955672,1181.8,NA,10,5.8,50.8,NA,0,0,1,Oct 2009,1.52828934333683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.881724643314,5,19,4,123,23.5007118039015,449.890911946173,11,0,0
"1020020",2010,1,0,0.8,0.2,0,0.6,0.8,0.2,0,0,1,2.2,2.4004,3.56964,3.56964,3.56964,2,7.418084,1181.4,NA,10.4,5.6,49.4,NA,0,0,1,Oct 2010,2.80089013480385,0,2010-10-13,NA,NA,860,1,1,0,NA,NA,996.672088137779,1,1,0.171903373176574,NA,547.125266530913,3,12,3,123,24.6040531313516,418.717351084538,6,0,0
"1020020",2011,1,0,1,0,0,1,0,0,0,1,1,1,2.3929,3.5706,3.5706,3.5706,2,7.94,1177,NA,5,5,39.5,NA,0,0,1,May 2011,3.57610518139142,0,2011-05-01,2625,1150,1000,0,0,0,2484.75163039646,1098.37206189081,1188.23795302833,0.0205466463526634,0.0449391356896276,0,NA,2081.37607138237,3,51,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020021",2009,0.666666666666667,0,0,1,0,1,0.333333333333333,0.666666666666667,0,0.333333333333333,1,1.66666666666667,3.01333333333333,3.39666666666667,6.75666666666667,6.75666666666667,18,9.646521,1195.33333333333,NA,11,5.66666666666667,45.5,NA,0,0,1,Nov 2009,1.68378889958045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.419913102543,5,21,4,123,23.5007118039015,449.890911946173,11,0,0
