,ea_id,FS_year,lat_modified,lon_modified,tz15_FCS_truth,tz_FCS_LR,tz_FCS_RFC,tz15_rCSI_truth,tz_rCSI_LR,tz_rCSI_RFC,tz_FCS_LR_error,tz_FCS_RFC_error,tz_rCSI_LR_error,tz_rCSI_RFC_error
254,530126303302,2015,-6.11559720469,39.2198310482,0,0,0,0,0,0,0,0,0,0
255,530127305303,2015,-6.20261355331,39.2623358893,0,0,0,0,0,0,0,0,0,0
256,530128301303,2015,-6.18850954985,39.2221103455,0,0,0,0,0,0,0,0,0,0
257,530129202003,2015,-6.13878043718,39.2255971316,0,0,0,0,0,0,0,0,0,0
258,530130301304,2015,-6.15760352826,39.2480678861,0,0,0,0,0,0,0,0,0,0
259,530132303301,2015,-6.114077282669999,39.2255712823,0,0,0,0,0,0,0,0,0,0
260,530133307301,2014,-6.089312083759999,39.224328175,0,0,0,0,0,0,0,0,0,0
261,530134203001,2015,-6.20654812232,39.2040287246,0,0,0,0,0,0,0,0,0,0
262,530135304302,2014,-6.215029355669999,39.2314310007,0,0,0,0,0,0,0,0,0,0
263,530136204001,2015,-6.17860234735,39.2255883227,0,0,0,0,0,0,0,0,0,0
264,530137306305,2015,-6.17027243439,39.2542125239,0,0,0,0,0,0,0,0,0,0
265,530138302301,2015,-6.179097990750001,39.2533442266,0,0,0,0,0,0,0,0,0,0
266,530207203003,2015,-6.162597969939999,39.2023469995,0,0,0,0,0,0,0,0,0,0
267,530213203002,2015,-6.162855508380001,39.222697864299995,0,0,0,0,0,0,0,0,0,0
268,530218203001,2015,-6.1686852416199995,39.198382013,0,0,0,0,0,0,0,0,0,0
269,530234203001,2015,-6.182310900469999,39.2053624824,0,0,0,0,0,0,0,0,0,0
270,540101202002,2015,-5.06310023193,39.721920739299996,0,0,0,0,0,0,0,0,0,0
271,540107101001,2015,-5.177302914569999,39.8028384266,0,0,0,0,0,0,0,0,0,0
272,540120101002,2015,-5.13731167721,39.8018037215,0,0,0,0,0,0,0,0,0,0
273,540131203001,2015,-5.06479698281,39.757407746300004,0,0,0,0,0,0,0,0,0,0
274,540204101001,2015,-4.9536969617699995,39.7495984388,0,0,0,0,0,0,0,0,0,0
275,540208307303,2015,-4.9448468514999995,39.7455344786,0,0,0,0,0,0,0,0,0,0
276,540213105002,2015,-4.97266093256,39.8661706399,0,0,0,0,0,0,0,0,0,0
277,540224102001,2015,-4.93475120415,39.6840073391,0,0,0,0,0,0,0,0,0,0
278,550109102001,2015,-5.276789673380001,39.7520910563,0,0,0,0,0,0,0,0,0,0
279,550113203002,2015,-5.23207525391,39.762066318,0,0,0,0,0,0,0,0,0,0
280,550125102005,2015,-5.26004997367,39.8199001841,0,0,0,0,0,0,0,0,0,0
281,550126202001,2015,-5.25848791785,39.7768427575,0,0,0,0,0,0,0,0,0,0
282,550211104001,2015,-5.38054750824,39.7508013538,0,0,0,0,0,0,0,0,0,0
283,550213305302,2015,-5.375430328130001,39.7071877761,0,0,0,0,0,0,0,0,0,0
284,60101102012,2014,-6.36615403961,38.5799257909,0,0,0,0,0,0,0,0,0,0
285,60105302305,2015,-6.447658017819999,38.8894743257,0,0,0,1,0,0,0,0,1,1
286,60304104001,2015,-7.1908088136699995,38.927624799899995,0,0,0,1,0,0,0,0,1,1
287,60408101006,2015,-7.29017409032,39.210595818499996,1,0,0,1,0,0,1,1,1,1
288,60508301305,2015,-7.72434862405,38.9431380073,0,0,0,1,0,0,0,0,1,1
289,60704202011,2014,-6.74970443655,38.9424031456,0,0,0,0,0,0,0,0,0,0
