"","ea_id","lat_modified","lon_modified"
"291",20906524,-14.819274,34.650723
"292",20906524,-14.777063,34.630008
"293",20906605,-14.6514,34.6256
"294",20906524,-14.864999,34.80601
"295",20906605,-13.945204,33.740801
"296",20908119,-14.5036,34.6593
"297",20906605,-14.242142,34.516074
"298",20906605,-14.300719,34.720335
"299",20906605,-15.673168,35.068242
"300",20906605,-14.766135,34.710199
"301",20908119,-14.238185,34.666464
"302",20909113,-14.4136,34.6106
"303",20909113,-14.393,34.34739
"304",20909113,-14.242405,34.539997
"305",20909113,-14.872558,35.521921
"306",20909113,-14.206531,34.830461
"307",20909113,-14.475873,35.250934
"308",20909113,-13.776091,34.449293
"309",20909113,-14.326344,34.545917
"310",20909113,-14.292511,34.533149
"311",20909113,-14.407428,34.560757
"312",20909113,-14.035128,33.815381
"313",20909113,-14.455642,35.277904
"314",20909113,-14.000516,33.720968
"315",20909113,-14.028579,33.808201
"316",21037030,-13.9896,33.7772
"317",21037030,-13.865386,33.767435
"318",21037030,-13.912004,33.790126
"319",21037536,-13.9917,33.7789
"320",21037536,-14.612306,34.748982
"321",21037536,-14.546124,35.055995
"322",21037030,-13.946631,33.823204
"323",21037030,-14.518906,35.046162
"324",21037536,-13.950819,33.729091
"325",21037536,-15.744647,35.023755
"326",21037030,-14.073459,33.450533
"327",21037536,-9.65245,33.531599
"328",21037536,-13.762928,33.819594
"329",21037536,-13.657427,33.936049
"330",21037030,-13.884266,33.749015
"331",21037030,-13.899973,33.764017
"332",21037030,-14.081497,33.803753
"333",21037536,-14.396388,34.070849
"334",21037030,-13.966298,33.696083
"335",21037536,-14.354734,33.886356
"336",21037536,-15.658423,35.040745
"337",21037030,-13.366851,33.904771
"338",21051203,-14.015645,33.706104
"339",21051203,-14.0039,33.8081
