fnid,clust
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031005,31007544
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3031213,31201230
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3030606,31302415
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
MW2012C3010102,10101016
