ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
"31002169",-15.58777,35.02781,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31546760",-15.55485,34.81447,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31001034",-16.51880,34.95660,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001092",-16.48200,34.74770,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001123",-16.38130,34.92810,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001228",-16.52820,34.84240,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001242",-16.34320,34.77450,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001647",-16.42710,34.96300,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.60000,34.96730,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31002169",-16.26690,34.89520,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31002245",-16.26540,34.88630,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31002677",-16.20840,34.86730,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31003226",-15.81430,34.34530,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31003482",-16.04930,34.54160,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31004098",-16.15560,34.90510,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31005061",-16.08120,34.85250,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31006284",-16.05170,34.81130,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007335",-16.30240,35.02980,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007544",-16.25440,35.02620,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007549",-16.13460,34.93580,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007645",-16.20830,35.00760,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"20508349",-16.13342,34.89260,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"20908088",-16.46846,34.87611,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"30102028",-16.44548,34.88588,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"30103074",-16.06803,34.78500,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"30711684",-15.99813,34.81933,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.60000,34.96730,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.51048,34.99068,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.51612,34.89228,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31004312",-16.17032,34.91841,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31004312",-16.16162,34.95694,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31004312",-16.06214,34.79522,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007335",-16.30240,35.02980,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31007335",-16.25722,34.99977,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31002169",-16.26690,34.89520,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31002169",-16.56576,34.91739,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31442394",-16.23455,34.85063,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31442394",-15.87584,34.78011,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31536751",-16.24405,35.03551,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31552686",-16.25093,34.92637,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31552686",-16.23716,34.91441,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"30803115",-16.28942,34.93499,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.64709,34.87030,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31001749",-16.46790,34.99476,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
"31004312",-16.12149,34.92629,MW2012C3031005,"2012",MW,Malawi,Southern,Chikwawa,,MW05,Lower Shire,"10920305","3"
