field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
273,2.08044e+07,-14.16791,34.39990,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
275,2.08044e+07,-14.10450,34.25216,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
277,2.08084e+07,-14.34870,34.40400,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
283,2.08077e+07,-14.37620,34.55439,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
285,2.08084e+07,-14.26675,34.14520,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
303,2.09091e+07,-14.39300,34.34739,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
311,2.09091e+07,-14.40743,34.56076,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
333,2.10375e+07,-14.39639,34.07085,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
335,2.10375e+07,-14.35473,33.88636,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
345,2.10512e+07,-14.20812,34.12843,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
378,2.10552e+07,-14.38566,34.30530,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
414,2.10803e+07,-14.30416,33.97587,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
425,2.10861e+07,-14.06128,34.27421,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
452,3.01053e+07,-14.39814,34.33757,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
77,2.01117e+07,-13.45766,33.50169,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
79,2.01117e+07,-13.66418,33.57218,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
93,2.01127e+07,-13.64299,33.63490,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
122,2.03031e+07,-13.59181,33.68483,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
124,2.0404e+07,-13.74690,34.16320,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
127,2.0404e+07,-13.69869,34.14796,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
129,2.04046e+07,-13.79210,34.16020,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
130,2.04046e+07,-13.77318,34.00335,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
135,2.04074e+07,-13.63620,33.74890,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
138,2.04075e+07,-13.50770,33.73760,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
139,2.04075e+07,-13.41698,33.62382,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
141,2.04075e+07,-13.44400,33.71052,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
142,2.04075e+07,-13.50760,33.80352,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
145,2.04075e+07,-13.59147,33.81915,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
146,2.04074e+07,-13.57509,33.65554,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
147,2.04074e+07,-13.57609,33.79903,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
168,2.06016e+07,-13.75999,33.81438,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
188,2.06016e+07,-13.54148,33.71656,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
205,2.06073e+07,-13.66089,33.85754,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
217,2.06073e+07,-13.69237,33.75799,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
328,2.10375e+07,-13.76293,33.81959,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
329,2.10375e+07,-13.65743,33.93605,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
346,2.10488e+07,-13.51909,33.73887,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
347,2.10488e+07,-13.51086,33.71208,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
376,2.10557e+07,-13.54017,33.68839,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
426,2.10864e+07,-13.63842,33.93383,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
429,2.10864e+07,-13.40130,33.57402,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
430,2.10864e+07,-13.37593,33.49808,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
431,2.10864e+07,-13.64946,33.79660,MW2012C3020403,2012,MW,Malawi,Central,Dowa,,MW03,Kasungu Lilongwe Plain,10920703,3
